idx,56,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1047m,13%,1400Mi,17%,
kind-worker,37m,0%,314Mi,3%,
kind-worker2,62m,0%,386Mi,4%,
kind-worker3,47m,0%,322Mi,4%,
idx,57,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1047m,13%,1400Mi,17%,
kind-worker,37m,0%,314Mi,3%,
kind-worker2,62m,0%,386Mi,4%,
kind-worker3,47m,0%,322Mi,4%,
idx,58,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1047m,13%,1400Mi,17%,
kind-worker,37m,0%,314Mi,3%,
kind-worker2,62m,0%,386Mi,4%,
kind-worker3,47m,0%,322Mi,4%,
idx,59,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1403Mi,17%,
kind-worker,34m,0%,315Mi,3%,
kind-worker2,69m,0%,388Mi,4%,
kind-worker3,36m,0%,324Mi,4%,
idx,60,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1403Mi,17%,
kind-worker,34m,0%,315Mi,3%,
kind-worker2,69m,0%,388Mi,4%,
kind-worker3,36m,0%,324Mi,4%,
idx,61,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1403Mi,17%,
kind-worker,34m,0%,315Mi,3%,
kind-worker2,69m,0%,388Mi,4%,
kind-worker3,36m,0%,324Mi,4%,
idx,62,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1403Mi,17%,
kind-worker,34m,0%,315Mi,3%,
kind-worker2,69m,0%,388Mi,4%,
kind-worker3,36m,0%,324Mi,4%,
idx,63,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1403Mi,17%,
kind-worker,34m,0%,315Mi,3%,
kind-worker2,69m,0%,388Mi,4%,
kind-worker3,36m,0%,324Mi,4%,
idx,64,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1403Mi,17%,
kind-worker,34m,0%,315Mi,3%,
kind-worker2,69m,0%,388Mi,4%,
kind-worker3,36m,0%,324Mi,4%,
idx,65,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1403Mi,17%,
kind-worker,34m,0%,315Mi,3%,
kind-worker2,69m,0%,388Mi,4%,
kind-worker3,36m,0%,324Mi,4%,
idx,66,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1403Mi,17%,
kind-worker,34m,0%,315Mi,3%,
kind-worker2,69m,0%,388Mi,4%,
kind-worker3,36m,0%,324Mi,4%,
idx,67,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1403Mi,17%,
kind-worker,34m,0%,315Mi,3%,
kind-worker2,69m,0%,388Mi,4%,
kind-worker3,36m,0%,324Mi,4%,
idx,68,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1403Mi,17%,
kind-worker,34m,0%,315Mi,3%,
kind-worker2,69m,0%,388Mi,4%,
kind-worker3,36m,0%,324Mi,4%,
idx,69,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1110m,13%,1403Mi,17%,
kind-worker,77m,0%,314Mi,3%,
kind-worker2,242m,3%,386Mi,4%,
kind-worker3,263m,3%,328Mi,4%,
idx,70,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1110m,13%,1403Mi,17%,
kind-worker,77m,0%,314Mi,3%,
kind-worker2,242m,3%,386Mi,4%,
kind-worker3,263m,3%,328Mi,4%,
idx,71,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
