idx,83,LOG_TIME,2024-01-14T03:04:10,2024-01-13T21:04:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1649m,20%,816Mi,10%,
kind-worker,33m,0%,357Mi,4%,
kind-worker2,61m,0%,350Mi,4%,
idx,84,LOG_TIME,2024-01-14T03:04:11,2024-01-13T21:04:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1649m,20%,816Mi,10%,
kind-worker,33m,0%,357Mi,4%,
kind-worker2,61m,0%,350Mi,4%,
idx,85,LOG_TIME,2024-01-14T03:04:12,2024-01-13T21:04:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1649m,20%,816Mi,10%,
kind-worker,33m,0%,357Mi,4%,
kind-worker2,61m,0%,350Mi,4%,
idx,86,LOG_TIME,2024-01-14T03:04:13,2024-01-13T21:04:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1649m,20%,816Mi,10%,
kind-worker,33m,0%,357Mi,4%,
kind-worker2,61m,0%,350Mi,4%,
idx,87,LOG_TIME,2024-01-14T03:04:14,2024-01-13T21:04:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1649m,20%,816Mi,10%,
kind-worker,33m,0%,357Mi,4%,
kind-worker2,61m,0%,350Mi,4%,
idx,88,LOG_TIME,2024-01-14T03:04:15,2024-01-13T21:04:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1668m,20%,819Mi,10%,
kind-worker,47m,0%,356Mi,4%,
kind-worker2,56m,0%,351Mi,4%,
idx,89,LOG_TIME,2024-01-14T03:04:17,2024-01-13T21:04:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1668m,20%,819Mi,10%,
kind-worker,47m,0%,356Mi,4%,
kind-worker2,56m,0%,351Mi,4%,
idx,90,LOG_TIME,2024-01-14T03:04:18,2024-01-13T21:04:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1668m,20%,819Mi,10%,
kind-worker,47m,0%,356Mi,4%,
kind-worker2,56m,0%,351Mi,4%,
idx,91,LOG_TIME,2024-01-14T03:04:19,2024-01-13T21:04:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1668m,20%,819Mi,10%,
kind-worker,47m,0%,356Mi,4%,
kind-worker2,56m,0%,351Mi,4%,
idx,92,LOG_TIME,2024-01-14T03:04:20,2024-01-13T21:04:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1668m,20%,819Mi,10%,
kind-worker,47m,0%,356Mi,4%,
kind-worker2,56m,0%,351Mi,4%,
idx,93,LOG_TIME,2024-01-14T03:04:21,2024-01-13T21:04:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1668m,20%,819Mi,10%,
kind-worker,47m,0%,356Mi,4%,
kind-worker2,56m,0%,351Mi,4%,
idx,94,LOG_TIME,2024-01-14T03:04:22,2024-01-13T21:04:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1668m,20%,819Mi,10%,
kind-worker,47m,0%,356Mi,4%,
kind-worker2,56m,0%,351Mi,4%,
idx,95,LOG_TIME,2024-01-14T03:04:23,2024-01-13T21:04:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1668m,20%,819Mi,10%,
kind-worker,47m,0%,356Mi,4%,
kind-worker2,56m,0%,351Mi,4%,
idx,96,LOG_TIME,2024-01-14T03:04:24,2024-01-13T21:04:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1668m,20%,819Mi,10%,
kind-worker,47m,0%,356Mi,4%,
kind-worker2,56m,0%,351Mi,4%,
idx,97,LOG_TIME,2024-01-14T03:04:25,2024-01-13T21:04:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1668m,20%,819Mi,10%,
kind-worker,47m,0%,356Mi,4%,
kind-worker2,56m,0%,351Mi,4%,
idx,98,LOG_TIME,2024-01-14T03:04:26,2024-01-13T21:04:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1618m,20%,819Mi,10%,
