NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,13%/50%,3,6,3,59s
idx,60,LOG_TIME,2023-05-18T05:14:42,2023-05-18T00:14:42,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,13%/50%,3,6,3,60s
idx,61,LOG_TIME,2023-05-18T05:14:43,2023-05-18T00:14:43,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,61s
idx,62,LOG_TIME,2023-05-18T05:14:44,2023-05-18T00:14:44,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,62s
idx,63,LOG_TIME,2023-05-18T05:14:45,2023-05-18T00:14:45,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,63s
idx,64,LOG_TIME,2023-05-18T05:14:46,2023-05-18T00:14:46,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,64s
idx,65,LOG_TIME,2023-05-18T05:14:47,2023-05-18T00:14:47,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,65s
idx,66,LOG_TIME,2023-05-18T05:14:48,2023-05-18T00:14:48,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,66s
idx,67,LOG_TIME,2023-05-18T05:14:49,2023-05-18T00:14:49,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,67s
idx,68,LOG_TIME,2023-05-18T05:14:50,2023-05-18T00:14:50,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,68s
idx,69,LOG_TIME,2023-05-18T05:14:51,2023-05-18T00:14:51,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,69s
idx,70,LOG_TIME,2023-05-18T05:14:52,2023-05-18T00:14:52,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
