NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1060m,13%,865Mi,10%,
kind-worker,139m,1%,315Mi,3%,
kind-worker2,84m,1%,321Mi,4%,
kind-worker3,141m,1%,315Mi,3%,
idx,71,LOG_TIME,2023-05-18T05:14:53,2023-05-18T00:14:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1060m,13%,865Mi,10%,
kind-worker,139m,1%,315Mi,3%,
kind-worker2,84m,1%,321Mi,4%,
kind-worker3,141m,1%,315Mi,3%,
idx,72,LOG_TIME,2023-05-18T05:14:54,2023-05-18T00:14:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1060m,13%,865Mi,10%,
kind-worker,139m,1%,315Mi,3%,
kind-worker2,84m,1%,321Mi,4%,
kind-worker3,141m,1%,315Mi,3%,
idx,73,LOG_TIME,2023-05-18T05:14:55,2023-05-18T00:14:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1065m,13%,869Mi,10%,
kind-worker,126m,1%,314Mi,3%,
kind-worker2,116m,1%,323Mi,4%,
kind-worker3,117m,1%,316Mi,3%,
idx,74,LOG_TIME,2023-05-18T05:14:56,2023-05-18T00:14:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1065m,13%,869Mi,10%,
kind-worker,126m,1%,314Mi,3%,
kind-worker2,116m,1%,323Mi,4%,
kind-worker3,117m,1%,316Mi,3%,
idx,75,LOG_TIME,2023-05-18T05:14:57,2023-05-18T00:14:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1065m,13%,869Mi,10%,
kind-worker,126m,1%,314Mi,3%,
kind-worker2,116m,1%,323Mi,4%,
kind-worker3,117m,1%,316Mi,3%,
idx,76,LOG_TIME,2023-05-18T05:14:58,2023-05-18T00:14:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1065m,13%,869Mi,10%,
kind-worker,126m,1%,314Mi,3%,
kind-worker2,116m,1%,323Mi,4%,
kind-worker3,117m,1%,316Mi,3%,
idx,77,LOG_TIME,2023-05-18T05:14:59,2023-05-18T00:14:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1065m,13%,869Mi,10%,
kind-worker,126m,1%,314Mi,3%,
kind-worker2,116m,1%,323Mi,4%,
kind-worker3,117m,1%,316Mi,3%,
idx,78,LOG_TIME,2023-05-18T05:15:00,2023-05-18T00:15:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1065m,13%,869Mi,10%,
kind-worker,126m,1%,314Mi,3%,
kind-worker2,116m,1%,323Mi,4%,
kind-worker3,117m,1%,316Mi,3%,
idx,79,LOG_TIME,2023-05-18T05:15:01,2023-05-18T00:15:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1065m,13%,869Mi,10%,
kind-worker,126m,1%,314Mi,3%,
kind-worker2,116m,1%,323Mi,4%,
kind-worker3,117m,1%,316Mi,3%,
idx,80,LOG_TIME,2023-05-18T05:15:02,2023-05-18T00:15:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1065m,13%,869Mi,10%,
kind-worker,126m,1%,314Mi,3%,
kind-worker2,116m,1%,323Mi,4%,
kind-worker3,117m,1%,316Mi,3%,
idx,81,LOG_TIME,2023-05-18T05:15:03,2023-05-18T00:15:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1065m,13%,869Mi,10%,
kind-worker,126m,1%,314Mi,3%,
kind-worker2,116m,1%,323Mi,4%,
kind-worker3,117m,1%,316Mi,3%,
idx,82,LOG_TIME,2023-05-18T05:15:04,2023-05-18T00:15:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1065m,13%,869Mi,10%,
kind-worker,126m,1%,314Mi,3%,
kind-worker2,116m,1%,323Mi,4%,
kind-worker3,117m,1%,316Mi,3%,
idx,83,LOG_TIME,2023-05-18T05:15:05,2023-05-18T00:15:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1077m,13%,865Mi,10%,
kind-worker,161m,2%,319Mi,4%,
kind-worker2,166m,2%,327Mi,4%,
kind-worker3,251m,3%,332Mi,4%,
idx,84,LOG_TIME,2023-05-18T05:15:06,2023-05-18T00:15:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1077m,13%,865Mi,10%,
kind-worker,161m,2%,319Mi,4%,
kind-worker2,166m,2%,327Mi,4%,
kind-worker3,251m,3%,332Mi,4%,
idx,85,LOG_TIME,2023-05-18T05:15:07,2023-05-18T00:15:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
