NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,403m,5%,1090Mi,13%,
kind-worker,116m,1%,283Mi,3%,
kind-worker2,48m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,64,LOG_TIME,2023-05-14T15:54:22,2023-05-14T10:54:22
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,403m,5%,1090Mi,13%,
kind-worker,116m,1%,283Mi,3%,
kind-worker2,48m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,65,LOG_TIME,2023-05-14T15:54:23,2023-05-14T10:54:23
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,403m,5%,1090Mi,13%,
kind-worker,116m,1%,283Mi,3%,
kind-worker2,48m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,66,LOG_TIME,2023-05-14T15:54:24,2023-05-14T10:54:24
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,403m,5%,1090Mi,13%,
kind-worker,116m,1%,283Mi,3%,
kind-worker2,48m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,67,LOG_TIME,2023-05-14T15:54:25,2023-05-14T10:54:25
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1092Mi,13%,
kind-worker,136m,1%,296Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,68,LOG_TIME,2023-05-14T15:54:26,2023-05-14T10:54:26
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1092Mi,13%,
kind-worker,136m,1%,296Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,69,LOG_TIME,2023-05-14T15:54:27,2023-05-14T10:54:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1092Mi,13%,
kind-worker,136m,1%,296Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,70,LOG_TIME,2023-05-14T15:54:28,2023-05-14T10:54:28
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1092Mi,13%,
kind-worker,136m,1%,296Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,71,LOG_TIME,2023-05-14T15:54:29,2023-05-14T10:54:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1092Mi,13%,
kind-worker,136m,1%,296Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,72,LOG_TIME,2023-05-14T15:54:30,2023-05-14T10:54:30
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1092Mi,13%,
kind-worker,136m,1%,296Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,73,LOG_TIME,2023-05-14T15:54:31,2023-05-14T10:54:31
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1092Mi,13%,
kind-worker,136m,1%,296Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,74,LOG_TIME,2023-05-14T15:54:32,2023-05-14T10:54:32
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1092Mi,13%,
kind-worker,136m,1%,296Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,75,LOG_TIME,2023-05-14T15:54:33,2023-05-14T10:54:33
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1092Mi,13%,
kind-worker,136m,1%,296Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,76,LOG_TIME,2023-05-14T15:54:34,2023-05-14T10:54:34
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,393m,4%,1094Mi,13%,
kind-worker,140m,1%,295Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,137m,1%,291Mi,3%,
idx,77,LOG_TIME,2023-05-14T15:54:35,2023-05-14T10:54:35
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,393m,4%,1094Mi,13%,
kind-worker,140m,1%,295Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,137m,1%,291Mi,3%,
idx,78,LOG_TIME,2023-05-14T15:54:36,2023-05-14T10:54:36
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,393m,4%,1094Mi,13%,
kind-worker,140m,1%,295Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,137m,1%,291Mi,3%,
idx,79,LOG_TIME,2023-05-14T15:54:37,2023-05-14T10:54:37
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,393m,4%,1094Mi,13%,
kind-worker,140m,1%,295Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,137m,1%,291Mi,3%,
idx,80,LOG_TIME,2023-05-14T15:54:38,2023-05-14T10:54:38
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,393m,4%,1094Mi,13%,
kind-worker,140m,1%,295Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,137m,1%,291Mi,3%,
idx,81,LOG_TIME,2023-05-14T15:54:39,2023-05-14T10:54:39
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,393m,4%,1094Mi,13%,
kind-worker,140m,1%,295Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,137m,1%,291Mi,3%,
idx,82,LOG_TIME,2023-05-14T15:54:40,2023-05-14T10:54:40
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,393m,4%,1094Mi,13%,
kind-worker,140m,1%,295Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,137m,1%,291Mi,3%,
idx,83,LOG_TIME,2023-05-14T15:54:41,2023-05-14T10:54:41
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,393m,4%,1094Mi,13%,
kind-worker,140m,1%,295Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,137m,1%,291Mi,3%,
idx,84,LOG_TIME,2023-05-14T15:54:42,2023-05-14T10:54:42
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,393m,4%,1094Mi,13%,
kind-worker,140m,1%,295Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,137m,1%,291Mi,3%,
idx,85,LOG_TIME,2023-05-14T15:54:43,2023-05-14T10:54:43
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,393m,4%,1094Mi,13%,
kind-worker,140m,1%,295Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,137m,1%,291Mi,3%,
idx,86,LOG_TIME,2023-05-14T10:54:44,2023-05-14T10:54:44
