idx,73,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,74,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,75,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,76,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,77,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,934m,11%,1341Mi,16%,
kind-worker,50m,0%,386Mi,4%,
kind-worker2,106m,1%,240Mi,3%,
kind-worker3,34m,0%,255Mi,3%,
idx,78,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,934m,11%,1341Mi,16%,
kind-worker,50m,0%,386Mi,4%,
kind-worker2,106m,1%,240Mi,3%,
kind-worker3,34m,0%,255Mi,3%,
idx,79,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,934m,11%,1341Mi,16%,
kind-worker,50m,0%,386Mi,4%,
kind-worker2,106m,1%,240Mi,3%,
kind-worker3,34m,0%,255Mi,3%,
idx,80,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,934m,11%,1341Mi,16%,
kind-worker,50m,0%,386Mi,4%,
kind-worker2,106m,1%,240Mi,3%,
kind-worker3,34m,0%,255Mi,3%,
idx,81,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,934m,11%,1341Mi,16%,
kind-worker,50m,0%,386Mi,4%,
kind-worker2,106m,1%,240Mi,3%,
kind-worker3,34m,0%,255Mi,3%,
idx,82,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,934m,11%,1341Mi,16%,
kind-worker,50m,0%,386Mi,4%,
kind-worker2,106m,1%,240Mi,3%,
kind-worker3,34m,0%,255Mi,3%,
idx,83,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,934m,11%,1341Mi,16%,
kind-worker,50m,0%,386Mi,4%,
kind-worker2,106m,1%,240Mi,3%,
kind-worker3,34m,0%,255Mi,3%,
idx,84,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,934m,11%,1341Mi,16%,
kind-worker,50m,0%,386Mi,4%,
kind-worker2,106m,1%,240Mi,3%,
kind-worker3,34m,0%,255Mi,3%,
idx,85,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,934m,11%,1341Mi,16%,
kind-worker,50m,0%,386Mi,4%,
kind-worker2,106m,1%,240Mi,3%,
kind-worker3,34m,0%,255Mi,3%,
