kind-worker,37m,0%,344Mi,4%,
kind-worker2,53m,0%,390Mi,4%,
kind-worker3,32m,0%,371Mi,4%,
idx,45,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,943m,11%,1353Mi,16%,
kind-worker,37m,0%,344Mi,4%,
kind-worker2,53m,0%,390Mi,4%,
kind-worker3,32m,0%,371Mi,4%,
idx,46,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,943m,11%,1353Mi,16%,
kind-worker,37m,0%,344Mi,4%,
kind-worker2,53m,0%,390Mi,4%,
kind-worker3,32m,0%,371Mi,4%,
idx,47,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1349Mi,16%,
kind-worker,40m,0%,342Mi,4%,
kind-worker2,53m,0%,389Mi,4%,
kind-worker3,32m,0%,370Mi,4%,
idx,48,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1349Mi,16%,
kind-worker,40m,0%,342Mi,4%,
kind-worker2,53m,0%,389Mi,4%,
kind-worker3,32m,0%,370Mi,4%,
idx,49,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1349Mi,16%,
kind-worker,40m,0%,342Mi,4%,
kind-worker2,53m,0%,389Mi,4%,
kind-worker3,32m,0%,370Mi,4%,
idx,50,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1349Mi,16%,
kind-worker,40m,0%,342Mi,4%,
kind-worker2,53m,0%,389Mi,4%,
kind-worker3,32m,0%,370Mi,4%,
idx,51,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1349Mi,16%,
kind-worker,40m,0%,342Mi,4%,
