kind-control-plane,1103m,13%,746Mi,9%,
kind-worker,154m,1%,292Mi,3%,
kind-worker2,267m,3%,298Mi,3%,
idx,53,LOG_TIME,2024-01-13T22:50:32,2024-01-13T16:50:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1103m,13%,746Mi,9%,
kind-worker,154m,1%,292Mi,3%,
kind-worker2,267m,3%,298Mi,3%,
idx,54,LOG_TIME,2024-01-13T22:50:33,2024-01-13T16:50:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1103m,13%,746Mi,9%,
kind-worker,154m,1%,292Mi,3%,
kind-worker2,267m,3%,298Mi,3%,
idx,55,LOG_TIME,2024-01-13T22:50:34,2024-01-13T16:50:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1103m,13%,746Mi,9%,
kind-worker,154m,1%,292Mi,3%,
kind-worker2,267m,3%,298Mi,3%,
idx,56,LOG_TIME,2024-01-13T22:50:35,2024-01-13T16:50:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,993m,12%,748Mi,9%,
kind-worker,153m,1%,294Mi,3%,
kind-worker2,238m,2%,300Mi,3%,
idx,57,LOG_TIME,2024-01-13T22:50:36,2024-01-13T16:50:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,993m,12%,748Mi,9%,
kind-worker,153m,1%,294Mi,3%,
kind-worker2,238m,2%,300Mi,3%,
idx,58,LOG_TIME,2024-01-13T22:50:37,2024-01-13T16:50:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,993m,12%,748Mi,9%,
kind-worker,153m,1%,294Mi,3%,
kind-worker2,238m,2%,300Mi,3%,
idx,59,LOG_TIME,2024-01-13T22:50:38,2024-01-13T16:50:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,993m,12%,748Mi,9%,
kind-worker,153m,1%,294Mi,3%,
kind-worker2,238m,2%,300Mi,3%,
idx,60,LOG_TIME,2024-01-13T22:50:39,2024-01-13T16:50:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,993m,12%,748Mi,9%,
kind-worker,153m,1%,294Mi,3%,
kind-worker2,238m,2%,300Mi,3%,
idx,61,LOG_TIME,2024-01-13T22:50:40,2024-01-13T16:50:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,993m,12%,748Mi,9%,
kind-worker,153m,1%,294Mi,3%,
kind-worker2,238m,2%,300Mi,3%,
idx,62,LOG_TIME,2024-01-13T22:50:41,2024-01-13T16:50:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,993m,12%,748Mi,9%,
kind-worker,153m,1%,294Mi,3%,
kind-worker2,238m,2%,300Mi,3%,
idx,63,LOG_TIME,2024-01-13T22:50:42,2024-01-13T16:50:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,993m,12%,748Mi,9%,
kind-worker,153m,1%,294Mi,3%,
kind-worker2,238m,2%,300Mi,3%,
idx,64,LOG_TIME,2024-01-13T22:50:43,2024-01-13T16:50:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,993m,12%,748Mi,9%,
kind-worker,153m,1%,294Mi,3%,
kind-worker2,238m,2%,300Mi,3%,
idx,65,LOG_TIME,2024-01-13T22:50:44,2024-01-13T16:50:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,993m,12%,748Mi,9%,
kind-worker,153m,1%,294Mi,3%,
kind-worker2,238m,2%,300Mi,3%,
idx,66,LOG_TIME,2024-01-13T22:50:45,2024-01-13T16:50:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1029m,12%,746Mi,9%,
kind-worker,304m,3%,320Mi,4%,
kind-worker2,270m,3%,307Mi,3%,
idx,67,LOG_TIME,2024-01-13T22:50:47,2024-01-13T16:50:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1029m,12%,746Mi,9%,
kind-worker,304m,3%,320Mi,4%,
kind-worker2,270m,3%,307Mi,3%,
idx,68,LOG_TIME,2024-01-13T22:50:48,2024-01-13T16:50:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1029m,12%,746Mi,9%,
kind-worker,304m,3%,320Mi,4%,
kind-worker2,270m,3%,307Mi,3%,
idx,69,LOG_TIME,2024-01-13T22:50:49,2024-01-13T16:50:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1029m,12%,746Mi,9%,
kind-worker,304m,3%,320Mi,4%,
kind-worker2,270m,3%,307Mi,3%,
idx,70,LOG_TIME,2024-01-13T22:50:50,2024-01-13T16:50:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1029m,12%,746Mi,9%,
kind-worker,304m,3%,320Mi,4%,
kind-worker2,270m,3%,307Mi,3%,
idx,71,LOG_TIME,2024-01-13T22:50:51,2024-01-13T16:50:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1029m,12%,746Mi,9%,
kind-worker,304m,3%,320Mi,4%,
kind-worker2,270m,3%,307Mi,3%,
idx,72,LOG_TIME,2024-01-13T22:50:52,2024-01-13T16:50:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1029m,12%,746Mi,9%,
kind-worker,304m,3%,320Mi,4%,
kind-worker2,270m,3%,307Mi,3%,
idx,73,LOG_TIME,2024-01-13T22:50:53,2024-01-13T16:50:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1029m,12%,746Mi,9%,
kind-worker,304m,3%,320Mi,4%,
kind-worker2,270m,3%,307Mi,3%,
idx,74,LOG_TIME,2024-01-13T22:50:54,2024-01-13T16:50:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1029m,12%,746Mi,9%,
kind-worker,304m,3%,320Mi,4%,
kind-worker2,270m,3%,307Mi,3%,
idx,75,LOG_TIME,2024-01-13T22:50:55,2024-01-13T16:50:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,741Mi,9%,
kind-worker,352m,4%,336Mi,4%,
kind-worker2,359m,4%,321Mi,4%,
idx,76,LOG_TIME,2024-01-13T22:50:56,2024-01-13T16:50:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,741Mi,9%,
kind-worker,352m,4%,336Mi,4%,
kind-worker2,359m,4%,321Mi,4%,
idx,77,LOG_TIME,2024-01-13T22:50:57,2024-01-13T16:50:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,741Mi,9%,
kind-worker,352m,4%,336Mi,4%,
kind-worker2,359m,4%,321Mi,4%,
idx,78,LOG_TIME,2024-01-13T22:50:58,2024-01-13T16:50:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,741Mi,9%,
kind-worker,352m,4%,336Mi,4%,
kind-worker2,359m,4%,321Mi,4%,
idx,79,LOG_TIME,2024-01-13T22:50:59,2024-01-13T16:50:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,741Mi,9%,
kind-worker,352m,4%,336Mi,4%,
kind-worker2,359m,4%,321Mi,4%,
idx,80,LOG_TIME,2024-01-13T22:51:00,2024-01-13T16:51:00,-
