kind-worker3,162m,2%,340Mi,4%,
idx,44,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1041m,13%,1372Mi,17%,
kind-worker,117m,1%,317Mi,3%,
kind-worker2,64m,0%,385Mi,4%,
kind-worker3,162m,2%,340Mi,4%,
idx,45,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1041m,13%,1372Mi,17%,
kind-worker,117m,1%,317Mi,3%,
kind-worker2,64m,0%,385Mi,4%,
kind-worker3,162m,2%,340Mi,4%,
idx,46,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1041m,13%,1372Mi,17%,
kind-worker,117m,1%,317Mi,3%,
kind-worker2,64m,0%,385Mi,4%,
kind-worker3,162m,2%,340Mi,4%,
idx,47,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1068m,13%,1370Mi,17%,
kind-worker,43m,0%,316Mi,3%,
kind-worker2,74m,0%,386Mi,4%,
kind-worker3,40m,0%,340Mi,4%,
idx,48,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1068m,13%,1370Mi,17%,
kind-worker,43m,0%,316Mi,3%,
kind-worker2,74m,0%,386Mi,4%,
kind-worker3,40m,0%,340Mi,4%,
idx,49,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1068m,13%,1370Mi,17%,
kind-worker,43m,0%,316Mi,3%,
kind-worker2,74m,0%,386Mi,4%,
kind-worker3,40m,0%,340Mi,4%,
idx,50,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1068m,13%,1370Mi,17%,
kind-worker,43m,0%,316Mi,3%,
kind-worker2,74m,0%,386Mi,4%,
kind-worker3,40m,0%,340Mi,4%,
idx,51,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1068m,13%,1370Mi,17%,
kind-worker,43m,0%,316Mi,3%,
kind-worker2,74m,0%,386Mi,4%,
kind-worker3,40m,0%,340Mi,4%,
idx,52,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1068m,13%,1370Mi,17%,
kind-worker,43m,0%,316Mi,3%,
kind-worker2,74m,0%,386Mi,4%,
kind-worker3,40m,0%,340Mi,4%,
idx,53,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1068m,13%,1370Mi,17%,
kind-worker,43m,0%,316Mi,3%,
kind-worker2,74m,0%,386Mi,4%,
kind-worker3,40m,0%,340Mi,4%,
idx,54,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1068m,13%,1370Mi,17%,
kind-worker,43m,0%,316Mi,3%,
kind-worker2,74m,0%,386Mi,4%,
kind-worker3,40m,0%,340Mi,4%,
