kind-worker2,58m,0%,297Mi,3%,
kind-worker3,174m,2%,295Mi,3%,
idx,41,LOG_TIME,2023-05-14T19:15:12,2023-05-14T14:15:12
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,842Mi,10%,
kind-worker,146m,1%,302Mi,3%,
kind-worker2,58m,0%,297Mi,3%,
kind-worker3,174m,2%,295Mi,3%,
idx,42,LOG_TIME,2023-05-14T19:15:13,2023-05-14T14:15:13
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,842Mi,10%,
kind-worker,146m,1%,302Mi,3%,
kind-worker2,58m,0%,297Mi,3%,
kind-worker3,174m,2%,295Mi,3%,
idx,43,LOG_TIME,2023-05-14T19:15:14,2023-05-14T14:15:14
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,842Mi,10%,
kind-worker,146m,1%,302Mi,3%,
kind-worker2,58m,0%,297Mi,3%,
kind-worker3,174m,2%,295Mi,3%,
idx,44,LOG_TIME,2023-05-14T14:15:15,2023-05-14T14:15:15
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,383m,4%,839Mi,10%,
kind-worker,146m,1%,302Mi,3%,
kind-worker2,50m,0%,298Mi,3%,
kind-worker3,140m,1%,296Mi,3%,
idx,45,LOG_TIME,2023-05-14T19:15:16,2023-05-14T14:15:16
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,383m,4%,839Mi,10%,
kind-worker,146m,1%,302Mi,3%,
kind-worker2,50m,0%,298Mi,3%,
kind-worker3,140m,1%,296Mi,3%,
idx,46,LOG_TIME,2023-05-14T19:15:17,2023-05-14T14:15:17
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,383m,4%,839Mi,10%,
kind-worker,146m,1%,302Mi,3%,
kind-worker2,50m,0%,298Mi,3%,
kind-worker3,140m,1%,296Mi,3%,
idx,47,LOG_TIME,2023-05-14T19:15:18,2023-05-14T14:15:18
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,383m,4%,839Mi,10%,
kind-worker,146m,1%,302Mi,3%,
kind-worker2,50m,0%,298Mi,3%,
kind-worker3,140m,1%,296Mi,3%,
idx,48,LOG_TIME,2023-05-14T19:15:19,2023-05-14T14:15:19
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,383m,4%,839Mi,10%,
kind-worker,146m,1%,302Mi,3%,
kind-worker2,50m,0%,298Mi,3%,
kind-worker3,140m,1%,296Mi,3%,
idx,49,LOG_TIME,2023-05-14T19:15:20,2023-05-14T14:15:20
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,383m,4%,839Mi,10%,
kind-worker,146m,1%,302Mi,3%,
kind-worker2,50m,0%,298Mi,3%,
kind-worker3,140m,1%,296Mi,3%,
idx,50,LOG_TIME,2023-05-14T19:15:21,2023-05-14T14:15:21
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
