idx,79,LOG_TIME,2023-05-15T17:50:48,2023-05-15T12:50:48
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,915m,11%,849Mi,10%,
kind-worker,137m,1%,284Mi,3%,
kind-worker2,47m,0%,284Mi,3%,
kind-worker3,136m,1%,282Mi,3%,
idx,80,LOG_TIME,2023-05-15T17:50:49,2023-05-15T12:50:49
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,915m,11%,849Mi,10%,
kind-worker,137m,1%,284Mi,3%,
kind-worker2,47m,0%,284Mi,3%,
kind-worker3,136m,1%,282Mi,3%,
idx,81,LOG_TIME,2023-05-15T17:50:50,2023-05-15T12:50:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,915m,11%,849Mi,10%,
kind-worker,137m,1%,284Mi,3%,
kind-worker2,47m,0%,284Mi,3%,
kind-worker3,136m,1%,282Mi,3%,
idx,82,LOG_TIME,2023-05-15T17:50:51,2023-05-15T12:50:51
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,915m,11%,849Mi,10%,
kind-worker,137m,1%,284Mi,3%,
kind-worker2,47m,0%,284Mi,3%,
kind-worker3,136m,1%,282Mi,3%,
idx,83,LOG_TIME,2023-05-15T17:50:52,2023-05-15T12:50:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,915m,11%,849Mi,10%,
kind-worker,137m,1%,284Mi,3%,
kind-worker2,47m,0%,284Mi,3%,
kind-worker3,136m,1%,282Mi,3%,
idx,84,LOG_TIME,2023-05-15T17:50:53,2023-05-15T12:50:53
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,915m,11%,849Mi,10%,
kind-worker,137m,1%,284Mi,3%,
kind-worker2,47m,0%,284Mi,3%,
kind-worker3,136m,1%,282Mi,3%,
idx,85,LOG_TIME,2023-05-15T17:50:54,2023-05-15T12:50:54
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,921m,11%,853Mi,10%,
kind-worker,136m,1%,286Mi,3%,
kind-worker2,147m,1%,300Mi,3%,
kind-worker3,212m,2%,292Mi,3%,
idx,86,LOG_TIME,2023-05-15T17:50:55,2023-05-15T12:50:55
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,921m,11%,853Mi,10%,
kind-worker,136m,1%,286Mi,3%,
kind-worker2,147m,1%,300Mi,3%,
