idx,82,LOG_TIME,2023-08-18T21:13:50,2023-08-18T16:13:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1433m,17%,850Mi,10%,
kind-worker,40m,0%,260Mi,3%,
kind-worker2,58m,0%,257Mi,3%,
kind-worker3,171m,2%,298Mi,3%,
idx,83,LOG_TIME,2023-08-18T21:13:51,2023-08-18T16:13:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1433m,17%,850Mi,10%,
kind-worker,40m,0%,260Mi,3%,
kind-worker2,58m,0%,257Mi,3%,
kind-worker3,171m,2%,298Mi,3%,
idx,84,LOG_TIME,2023-08-18T21:13:52,2023-08-18T16:13:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1433m,17%,850Mi,10%,
kind-worker,40m,0%,260Mi,3%,
kind-worker2,58m,0%,257Mi,3%,
kind-worker3,171m,2%,298Mi,3%,
idx,85,LOG_TIME,2023-08-18T21:13:53,2023-08-18T16:13:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
