kind-worker,123m,1%,329Mi,4%,
kind-worker2,168m,2%,299Mi,3%,
kind-worker3,151m,1%,305Mi,3%,
idx,57,LOG_TIME,2023-09-15T20:02:42,2023-09-15T15:02:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,803Mi,10%,
kind-worker,123m,1%,329Mi,4%,
kind-worker2,168m,2%,299Mi,3%,
kind-worker3,151m,1%,305Mi,3%,
idx,58,LOG_TIME,2023-09-15T20:02:44,2023-09-15T15:02:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,803Mi,10%,
kind-worker,123m,1%,329Mi,4%,
kind-worker2,168m,2%,299Mi,3%,
kind-worker3,151m,1%,305Mi,3%,
idx,59,LOG_TIME,2023-09-15T20:02:45,2023-09-15T15:02:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,803Mi,10%,
kind-worker,123m,1%,329Mi,4%,
kind-worker2,168m,2%,299Mi,3%,
kind-worker3,151m,1%,305Mi,3%,
idx,60,LOG_TIME,2023-09-15T20:02:46,2023-09-15T15:02:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,803Mi,10%,
kind-worker,123m,1%,329Mi,4%,
kind-worker2,168m,2%,299Mi,3%,
kind-worker3,151m,1%,305Mi,3%,
idx,61,LOG_TIME,2023-09-15T20:02:47,2023-09-15T15:02:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,803Mi,10%,
kind-worker,123m,1%,329Mi,4%,
kind-worker2,168m,2%,299Mi,3%,
kind-worker3,151m,1%,305Mi,3%,
idx,62,LOG_TIME,2023-09-15T20:02:48,2023-09-15T15:02:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,803Mi,10%,
kind-worker,123m,1%,329Mi,4%,
kind-worker2,168m,2%,299Mi,3%,
kind-worker3,151m,1%,305Mi,3%,
idx,63,LOG_TIME,2023-09-15T20:02:49,2023-09-15T15:02:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,803Mi,10%,
kind-worker,123m,1%,329Mi,4%,
kind-worker2,168m,2%,299Mi,3%,
kind-worker3,151m,1%,305Mi,3%,
idx,64,LOG_TIME,2023-09-15T20:02:50,2023-09-15T15:02:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1179m,14%,806Mi,10%,
kind-worker,146m,1%,327Mi,4%,
kind-worker2,158m,1%,304Mi,3%,
kind-worker3,139m,1%,304Mi,3%,
idx,65,LOG_TIME,2023-09-15T20:02:51,2023-09-15T15:02:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1179m,14%,806Mi,10%,
kind-worker,146m,1%,327Mi,4%,
kind-worker2,158m,1%,304Mi,3%,
kind-worker3,139m,1%,304Mi,3%,
idx,66,LOG_TIME,2023-09-15T20:02:52,2023-09-15T15:02:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1179m,14%,806Mi,10%,
kind-worker,146m,1%,327Mi,4%,
kind-worker2,158m,1%,304Mi,3%,
