idx,46,LOG_TIME,2023-08-30T04:47:48,2023-08-29T23:47:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1699m,21%,841Mi,10%,
kind-worker,43m,0%,409Mi,5%,
kind-worker2,126m,1%,321Mi,4%,
kind-worker3,113m,1%,304Mi,3%,
idx,47,LOG_TIME,2023-08-30T04:47:49,2023-08-29T23:47:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1567m,19%,853Mi,10%,
kind-worker,307m,3%,426Mi,5%,
kind-worker2,131m,1%,329Mi,4%,
kind-worker3,128m,1%,312Mi,3%,
idx,48,LOG_TIME,2023-08-30T04:47:50,2023-08-29T23:47:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1567m,19%,853Mi,10%,
kind-worker,307m,3%,426Mi,5%,
kind-worker2,131m,1%,329Mi,4%,
kind-worker3,128m,1%,312Mi,3%,
idx,49,LOG_TIME,2023-08-30T04:47:52,2023-08-29T23:47:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1567m,19%,853Mi,10%,
kind-worker,307m,3%,426Mi,5%,
kind-worker2,131m,1%,329Mi,4%,
kind-worker3,128m,1%,312Mi,3%,
idx,50,LOG_TIME,2023-08-30T04:47:53,2023-08-29T23:47:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1567m,19%,853Mi,10%,
kind-worker,307m,3%,426Mi,5%,
kind-worker2,131m,1%,329Mi,4%,
kind-worker3,128m,1%,312Mi,3%,
idx,51,LOG_TIME,2023-08-30T04:47:54,2023-08-29T23:47:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1567m,19%,853Mi,10%,
kind-worker,307m,3%,426Mi,5%,
kind-worker2,131m,1%,329Mi,4%,
kind-worker3,128m,1%,312Mi,3%,
idx,52,LOG_TIME,2023-08-30T04:47:55,2023-08-29T23:47:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1567m,19%,853Mi,10%,
kind-worker,307m,3%,426Mi,5%,
kind-worker2,131m,1%,329Mi,4%,
kind-worker3,128m,1%,312Mi,3%,
idx,53,LOG_TIME,2023-08-30T04:47:56,2023-08-29T23:47:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1567m,19%,853Mi,10%,
kind-worker,307m,3%,426Mi,5%,
kind-worker2,131m,1%,329Mi,4%,
kind-worker3,128m,1%,312Mi,3%,
idx,54,LOG_TIME,2023-08-30T04:47:57,2023-08-29T23:47:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1567m,19%,853Mi,10%,
kind-worker,307m,3%,426Mi,5%,
kind-worker2,131m,1%,329Mi,4%,
kind-worker3,128m,1%,312Mi,3%,
idx,55,LOG_TIME,2023-08-30T04:47:58,2023-08-29T23:47:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1567m,19%,853Mi,10%,
kind-worker,307m,3%,426Mi,5%,
kind-worker2,131m,1%,329Mi,4%,
kind-worker3,128m,1%,312Mi,3%,
idx,56,LOG_TIME,2023-08-30T04:47:59,2023-08-29T23:47:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1567m,19%,853Mi,10%,
kind-worker,307m,3%,426Mi,5%,
kind-worker2,131m,1%,329Mi,4%,
kind-worker3,128m,1%,312Mi,3%,
idx,57,LOG_TIME,2023-08-30T04:48:00,2023-08-29T23:48:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1798m,22%,843Mi,10%,
kind-worker,165m,2%,427Mi,5%,
kind-worker2,60m,0%,329Mi,4%,
kind-worker3,39m,0%,312Mi,3%,
idx,58,LOG_TIME,2023-08-30T04:48:01,2023-08-29T23:48:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1798m,22%,843Mi,10%,
kind-worker,165m,2%,427Mi,5%,
kind-worker2,60m,0%,329Mi,4%,
kind-worker3,39m,0%,312Mi,3%,
idx,59,LOG_TIME,2023-08-30T04:48:02,2023-08-29T23:48:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1798m,22%,843Mi,10%,
kind-worker,165m,2%,427Mi,5%,
kind-worker2,60m,0%,329Mi,4%,
