NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,414m,5%,1086Mi,13%,
kind-worker,154m,1%,277Mi,3%,
kind-worker2,58m,0%,218Mi,2%,
kind-worker3,41m,0%,193Mi,2%,
idx,56,LOG_TIME,2023-05-14T14:50:58,2023-05-14T09:50:58
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,414m,5%,1086Mi,13%,
kind-worker,154m,1%,277Mi,3%,
kind-worker2,58m,0%,218Mi,2%,
kind-worker3,41m,0%,193Mi,2%,
idx,57,LOG_TIME,2023-05-14T14:50:59,2023-05-14T09:50:59
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,414m,5%,1086Mi,13%,
kind-worker,154m,1%,277Mi,3%,
kind-worker2,58m,0%,218Mi,2%,
kind-worker3,41m,0%,193Mi,2%,
idx,58,LOG_TIME,2023-05-14T09:51:00,2023-05-14T09:51:00
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,414m,5%,1086Mi,13%,
kind-worker,154m,1%,277Mi,3%,
kind-worker2,58m,0%,218Mi,2%,
kind-worker3,41m,0%,193Mi,2%,
idx,59,LOG_TIME,2023-05-14T14:51:01,2023-05-14T09:51:01
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,414m,5%,1086Mi,13%,
kind-worker,154m,1%,277Mi,3%,
kind-worker2,58m,0%,218Mi,2%,
kind-worker3,41m,0%,193Mi,2%,
idx,60,LOG_TIME,2023-05-14T14:51:02,2023-05-14T09:51:02
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,414m,5%,1086Mi,13%,
kind-worker,154m,1%,277Mi,3%,
kind-worker2,58m,0%,218Mi,2%,
kind-worker3,41m,0%,193Mi,2%,
idx,61,LOG_TIME,2023-05-14T14:51:03,2023-05-14T09:51:03
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,414m,5%,1086Mi,13%,
kind-worker,154m,1%,277Mi,3%,
kind-worker2,58m,0%,218Mi,2%,
kind-worker3,41m,0%,193Mi,2%,
idx,62,LOG_TIME,2023-05-14T14:51:04,2023-05-14T09:51:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,369m,4%,1086Mi,13%,
kind-worker,144m,1%,277Mi,3%,
kind-worker2,61m,0%,219Mi,2%,
kind-worker3,36m,0%,192Mi,2%,
idx,63,LOG_TIME,2023-05-14T14:51:05,2023-05-14T09:51:05
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,369m,4%,1086Mi,13%,
kind-worker,144m,1%,277Mi,3%,
kind-worker2,61m,0%,219Mi,2%,
kind-worker3,36m,0%,192Mi,2%,
idx,64,LOG_TIME,2023-05-14T14:51:06,2023-05-14T09:51:06
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,369m,4%,1086Mi,13%,
kind-worker,144m,1%,277Mi,3%,
kind-worker2,61m,0%,219Mi,2%,
kind-worker3,36m,0%,192Mi,2%,
idx,65,LOG_TIME,2023-05-14T14:51:07,2023-05-14T09:51:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,369m,4%,1086Mi,13%,
