idx,58,LOG_TIME,2023-05-14T02:59:26,2023-05-13T21:59:26
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,387m,4%,939Mi,11%,
kind-worker,193m,2%,226Mi,2%,
kind-worker2,314m,3%,254Mi,3%,
kind-worker3,330m,4%,229Mi,2%,
idx,59,LOG_TIME,2023-05-14T02:59:27,2023-05-13T21:59:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,387m,4%,939Mi,11%,
kind-worker,193m,2%,226Mi,2%,
kind-worker2,314m,3%,254Mi,3%,
kind-worker3,330m,4%,229Mi,2%,
