kind-worker3,152m,1%,376Mi,4%,
idx,38,LOG_TIME,2023-09-19T17:02:27,2023-09-19T12:02:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1302m,16%,849Mi,10%,
kind-worker,145m,1%,364Mi,4%,
kind-worker2,154m,1%,341Mi,4%,
kind-worker3,152m,1%,376Mi,4%,
idx,39,LOG_TIME,2023-09-19T17:02:28,2023-09-19T12:02:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1302m,16%,849Mi,10%,
kind-worker,145m,1%,364Mi,4%,
kind-worker2,154m,1%,341Mi,4%,
kind-worker3,152m,1%,376Mi,4%,
idx,40,LOG_TIME,2023-09-19T17:02:29,2023-09-19T12:02:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1302m,16%,849Mi,10%,
kind-worker,145m,1%,364Mi,4%,
kind-worker2,154m,1%,341Mi,4%,
kind-worker3,152m,1%,376Mi,4%,
idx,41,LOG_TIME,2023-09-19T17:02:30,2023-09-19T12:02:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1234m,15%,851Mi,10%,
kind-worker,141m,1%,366Mi,4%,
kind-worker2,164m,2%,340Mi,4%,
kind-worker3,144m,1%,374Mi,4%,
idx,42,LOG_TIME,2023-09-19T17:02:31,2023-09-19T12:02:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1234m,15%,851Mi,10%,
kind-worker,141m,1%,366Mi,4%,
kind-worker2,164m,2%,340Mi,4%,
kind-worker3,144m,1%,374Mi,4%,
idx,43,LOG_TIME,2023-09-19T17:02:32,2023-09-19T12:02:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1234m,15%,851Mi,10%,
kind-worker,141m,1%,366Mi,4%,
kind-worker2,164m,2%,340Mi,4%,
kind-worker3,144m,1%,374Mi,4%,
idx,44,LOG_TIME,2023-09-19T17:02:33,2023-09-19T12:02:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1234m,15%,851Mi,10%,
kind-worker,141m,1%,366Mi,4%,
kind-worker2,164m,2%,340Mi,4%,
kind-worker3,144m,1%,374Mi,4%,
idx,45,LOG_TIME,2023-09-19T17:02:34,2023-09-19T12:02:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1234m,15%,851Mi,10%,
kind-worker,141m,1%,366Mi,4%,
kind-worker2,164m,2%,340Mi,4%,
kind-worker3,144m,1%,374Mi,4%,
idx,46,LOG_TIME,2023-09-19T17:02:35,2023-09-19T12:02:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1234m,15%,851Mi,10%,
kind-worker,141m,1%,366Mi,4%,
kind-worker2,164m,2%,340Mi,4%,
kind-worker3,144m,1%,374Mi,4%,
idx,47,LOG_TIME,2023-09-19T17:02:36,2023-09-19T12:02:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1234m,15%,851Mi,10%,
kind-worker,141m,1%,366Mi,4%,
kind-worker2,164m,2%,340Mi,4%,
kind-worker3,144m,1%,374Mi,4%,
idx,48,LOG_TIME,2023-09-19T17:02:37,2023-09-19T12:02:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1234m,15%,851Mi,10%,
kind-worker,141m,1%,366Mi,4%,
kind-worker2,164m,2%,340Mi,4%,
kind-worker3,144m,1%,374Mi,4%,
idx,49,LOG_TIME,2023-09-19T17:02:38,2023-09-19T12:02:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1234m,15%,851Mi,10%,
kind-worker,141m,1%,366Mi,4%,
kind-worker2,164m,2%,340Mi,4%,
kind-worker3,144m,1%,374Mi,4%,
idx,50,LOG_TIME,2023-09-19T17:02:39,2023-09-19T12:02:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1255m,15%,862Mi,10%,
kind-worker,272m,3%,388Mi,4%,
kind-worker2,150m,1%,341Mi,4%,
kind-worker3,272m,3%,396Mi,4%,
idx,51,LOG_TIME,2023-09-19T17:02:40,2023-09-19T12:02:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1255m,15%,862Mi,10%,
kind-worker,272m,3%,388Mi,4%,
kind-worker2,150m,1%,341Mi,4%,
kind-worker3,272m,3%,396Mi,4%,
idx,52,LOG_TIME,2023-09-19T17:02:41,2023-09-19T12:02:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1255m,15%,862Mi,10%,
kind-worker,272m,3%,388Mi,4%,
kind-worker2,150m,1%,341Mi,4%,
kind-worker3,272m,3%,396Mi,4%,
idx,53,LOG_TIME,2023-09-19T17:02:42,2023-09-19T12:02:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1255m,15%,862Mi,10%,
kind-worker,272m,3%,388Mi,4%,
kind-worker2,150m,1%,341Mi,4%,
kind-worker3,272m,3%,396Mi,4%,
idx,54,LOG_TIME,2023-09-19T17:02:43,2023-09-19T12:02:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1255m,15%,862Mi,10%,
kind-worker,272m,3%,388Mi,4%,
kind-worker2,150m,1%,341Mi,4%,
kind-worker3,272m,3%,396Mi,4%,
idx,55,LOG_TIME,2023-09-19T17:02:44,2023-09-19T12:02:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1255m,15%,862Mi,10%,
kind-worker,272m,3%,388Mi,4%,
kind-worker2,150m,1%,341Mi,4%,
kind-worker3,272m,3%,396Mi,4%,
idx,56,LOG_TIME,2023-09-19T17:02:45,2023-09-19T12:02:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1255m,15%,862Mi,10%,
kind-worker,272m,3%,388Mi,4%,
kind-worker2,150m,1%,341Mi,4%,
kind-worker3,272m,3%,396Mi,4%,
idx,57,LOG_TIME,2023-09-19T17:02:46,2023-09-19T12:02:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1255m,15%,862Mi,10%,
kind-worker,272m,3%,388Mi,4%,
kind-worker2,150m,1%,341Mi,4%,
kind-worker3,272m,3%,396Mi,4%,
idx,58,LOG_TIME,2023-09-19T17:02:47,2023-09-19T12:02:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1255m,15%,862Mi,10%,
kind-worker,272m,3%,388Mi,4%,
kind-worker2,150m,1%,341Mi,4%,
kind-worker3,272m,3%,396Mi,4%,
idx,59,LOG_TIME,2023-09-19T17:02:48,2023-09-19T12:02:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1255m,15%,862Mi,10%,
kind-worker,272m,3%,388Mi,4%,
kind-worker2,150m,1%,341Mi,4%,
kind-worker3,272m,3%,396Mi,4%,
idx,60,LOG_TIME,2023-09-19T17:02:49,2023-09-19T12:02:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1257m,15%,864Mi,10%,
kind-worker,247m,3%,386Mi,4%,
kind-worker2,153m,1%,342Mi,4%,
kind-worker3,256m,3%,398Mi,4%,
idx,61,LOG_TIME,2023-09-19T17:02:50,2023-09-19T12:02:50,-
