kind-control-plane,1053m,13%,1358Mi,17%,
kind-worker,46m,0%,345Mi,4%,
kind-worker2,138m,1%,371Mi,4%,
kind-worker3,62m,0%,311Mi,3%,
idx,60,LOG_TIME,2023-05-11T06:14:17,2023-05-11T01:14:17
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1053m,13%,1358Mi,17%,
kind-worker,46m,0%,345Mi,4%,
kind-worker2,138m,1%,371Mi,4%,
kind-worker3,62m,0%,311Mi,3%,
idx,61,LOG_TIME,2023-05-11T06:14:18,2023-05-11T01:14:18
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1053m,13%,1358Mi,17%,
kind-worker,46m,0%,345Mi,4%,
kind-worker2,138m,1%,371Mi,4%,
kind-worker3,62m,0%,311Mi,3%,
idx,62,LOG_TIME,2023-05-11T06:14:19,2023-05-11T01:14:19
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1053m,13%,1358Mi,17%,
kind-worker,46m,0%,345Mi,4%,
kind-worker2,138m,1%,371Mi,4%,
kind-worker3,62m,0%,311Mi,3%,
idx,63,LOG_TIME,2023-05-11T06:14:20,2023-05-11T01:14:20
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1053m,13%,1358Mi,17%,
kind-worker,46m,0%,345Mi,4%,
kind-worker2,138m,1%,371Mi,4%,
kind-worker3,62m,0%,311Mi,3%,
idx,64,LOG_TIME,2023-05-11T06:14:21,2023-05-11T01:14:21
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1053m,13%,1358Mi,17%,
kind-worker,46m,0%,345Mi,4%,
kind-worker2,138m,1%,371Mi,4%,
kind-worker3,62m,0%,311Mi,3%,
idx,65,LOG_TIME,2023-05-11T06:14:22,2023-05-11T01:14:22
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,931m,11%,1363Mi,17%,
kind-worker,160m,2%,314Mi,3%,
kind-worker2,66m,0%,370Mi,4%,
kind-worker3,54m,0%,310Mi,3%,
idx,66,LOG_TIME,2023-05-11T06:14:23,2023-05-11T01:14:23
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,931m,11%,1363Mi,17%,
kind-worker,160m,2%,314Mi,3%,
kind-worker2,66m,0%,370Mi,4%,
kind-worker3,54m,0%,310Mi,3%,
idx,67,LOG_TIME,2023-05-11T06:14:24,2023-05-11T01:14:24
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,931m,11%,1363Mi,17%,
kind-worker,160m,2%,314Mi,3%,
kind-worker2,66m,0%,370Mi,4%,
kind-worker3,54m,0%,310Mi,3%,
