kind-worker3,41m,0%,362Mi,4%,
idx,43,LOG_TIME,2023-09-19T08:14:06,2023-09-19T03:14:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1322m,16%,836Mi,10%,
kind-worker,44m,0%,360Mi,4%,
kind-worker2,53m,0%,297Mi,3%,
kind-worker3,41m,0%,362Mi,4%,
idx,44,LOG_TIME,2023-09-19T08:14:07,2023-09-19T03:14:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1322m,16%,836Mi,10%,
kind-worker,44m,0%,360Mi,4%,
kind-worker2,53m,0%,297Mi,3%,
kind-worker3,41m,0%,362Mi,4%,
idx,45,LOG_TIME,2023-09-19T08:14:08,2023-09-19T03:14:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1322m,16%,836Mi,10%,
kind-worker,44m,0%,360Mi,4%,
kind-worker2,53m,0%,297Mi,3%,
kind-worker3,41m,0%,362Mi,4%,
idx,46,LOG_TIME,2023-09-19T08:14:09,2023-09-19T03:14:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1400m,17%,837Mi,10%,
kind-worker,40m,0%,358Mi,4%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,42m,0%,363Mi,4%,
idx,47,LOG_TIME,2023-09-19T08:14:11,2023-09-19T03:14:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1400m,17%,837Mi,10%,
kind-worker,40m,0%,358Mi,4%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,42m,0%,363Mi,4%,
idx,48,LOG_TIME,2023-09-19T08:14:12,2023-09-19T03:14:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1400m,17%,837Mi,10%,
kind-worker,40m,0%,358Mi,4%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,42m,0%,363Mi,4%,
idx,49,LOG_TIME,2023-09-19T08:14:13,2023-09-19T03:14:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1400m,17%,837Mi,10%,
kind-worker,40m,0%,358Mi,4%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,42m,0%,363Mi,4%,
idx,50,LOG_TIME,2023-09-19T08:14:14,2023-09-19T03:14:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1400m,17%,837Mi,10%,
kind-worker,40m,0%,358Mi,4%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,42m,0%,363Mi,4%,
idx,51,LOG_TIME,2023-09-19T08:14:15,2023-09-19T03:14:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1400m,17%,837Mi,10%,
kind-worker,40m,0%,358Mi,4%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,42m,0%,363Mi,4%,
idx,52,LOG_TIME,2023-09-19T08:14:16,2023-09-19T03:14:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1400m,17%,837Mi,10%,
kind-worker,40m,0%,358Mi,4%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,42m,0%,363Mi,4%,
idx,53,LOG_TIME,2023-09-19T08:14:17,2023-09-19T03:14:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1400m,17%,837Mi,10%,
kind-worker,40m,0%,358Mi,4%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,42m,0%,363Mi,4%,
idx,54,LOG_TIME,2023-09-19T08:14:18,2023-09-19T03:14:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1400m,17%,837Mi,10%,
kind-worker,40m,0%,358Mi,4%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,42m,0%,363Mi,4%,
idx,55,LOG_TIME,2023-09-19T08:14:19,2023-09-19T03:14:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1294m,16%,823Mi,10%,
kind-worker,98m,1%,350Mi,4%,
kind-worker2,75m,0%,309Mi,3%,
kind-worker3,58m,0%,364Mi,4%,
idx,56,LOG_TIME,2023-09-19T08:14:20,2023-09-19T03:14:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1294m,16%,823Mi,10%,
kind-worker,98m,1%,350Mi,4%,
kind-worker2,75m,0%,309Mi,3%,
kind-worker3,58m,0%,364Mi,4%,
idx,57,LOG_TIME,2023-09-19T08:14:21,2023-09-19T03:14:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1294m,16%,823Mi,10%,
kind-worker,98m,1%,350Mi,4%,
kind-worker2,75m,0%,309Mi,3%,
kind-worker3,58m,0%,364Mi,4%,
idx,58,LOG_TIME,2023-09-19T08:14:22,2023-09-19T03:14:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1294m,16%,823Mi,10%,
kind-worker,98m,1%,350Mi,4%,
kind-worker2,75m,0%,309Mi,3%,
kind-worker3,58m,0%,364Mi,4%,
idx,59,LOG_TIME,2023-09-19T08:14:23,2023-09-19T03:14:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1294m,16%,823Mi,10%,
kind-worker,98m,1%,350Mi,4%,
kind-worker2,75m,0%,309Mi,3%,
kind-worker3,58m,0%,364Mi,4%,
idx,60,LOG_TIME,2023-09-19T08:14:24,2023-09-19T03:14:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1294m,16%,823Mi,10%,
kind-worker,98m,1%,350Mi,4%,
kind-worker2,75m,0%,309Mi,3%,
kind-worker3,58m,0%,364Mi,4%,
idx,61,LOG_TIME,2023-09-19T08:14:25,2023-09-19T03:14:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
