NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,115m,1%,366Mi,4%,
kind-worker2,101m,1%,412Mi,5%,
kind-worker3,52m,0%,393Mi,4%,
idx,37,LOG_TIME,2023-05-12T00:23:18,2023-05-12T00:23:18
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,115m,1%,366Mi,4%,
kind-worker2,101m,1%,412Mi,5%,
kind-worker3,52m,0%,393Mi,4%,
idx,38,LOG_TIME,2023-05-12T05:23:19,2023-05-12T00:23:19
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,115m,1%,366Mi,4%,
kind-worker2,101m,1%,412Mi,5%,
kind-worker3,52m,0%,393Mi,4%,
idx,39,LOG_TIME,2023-05-12T05:23:20,2023-05-12T00:23:20
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,115m,1%,366Mi,4%,
kind-worker2,101m,1%,412Mi,5%,
kind-worker3,52m,0%,393Mi,4%,
idx,40,LOG_TIME,2023-05-12T05:23:21,2023-05-12T00:23:21
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,115m,1%,366Mi,4%,
kind-worker2,101m,1%,412Mi,5%,
kind-worker3,52m,0%,393Mi,4%,
idx,41,LOG_TIME,2023-05-12T05:23:22,2023-05-12T00:23:22
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,46m,0%,368Mi,4%,
kind-worker2,163m,2%,414Mi,5%,
kind-worker3,51m,0%,395Mi,4%,
idx,42,LOG_TIME,2023-05-12T05:23:23,2023-05-12T00:23:23
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,46m,0%,368Mi,4%,
kind-worker2,163m,2%,414Mi,5%,
kind-worker3,51m,0%,395Mi,4%,
idx,43,LOG_TIME,2023-05-12T05:23:24,2023-05-12T00:23:24
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,46m,0%,368Mi,4%,
kind-worker2,163m,2%,414Mi,5%,
kind-worker3,51m,0%,395Mi,4%,
idx,44,LOG_TIME,2023-05-12T05:23:25,2023-05-12T00:23:25
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,46m,0%,368Mi,4%,
kind-worker2,163m,2%,414Mi,5%,
kind-worker3,51m,0%,395Mi,4%,
idx,45,LOG_TIME,2023-05-12T05:23:26,2023-05-12T00:23:26
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,46m,0%,368Mi,4%,
kind-worker2,163m,2%,414Mi,5%,
kind-worker3,51m,0%,395Mi,4%,
idx,46,LOG_TIME,2023-05-12T05:23:27,2023-05-12T00:23:27
