kind-worker3,240m,3%,330Mi,4%,
idx,71,LOG_TIME,2023-05-18T15:19:47,2023-05-18T10:19:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,842Mi,10%,
kind-worker,242m,3%,333Mi,4%,
kind-worker2,231m,2%,342Mi,4%,
kind-worker3,240m,3%,330Mi,4%,
idx,72,LOG_TIME,2023-05-18T15:19:48,2023-05-18T10:19:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,842Mi,10%,
kind-worker,242m,3%,333Mi,4%,
kind-worker2,231m,2%,342Mi,4%,
kind-worker3,240m,3%,330Mi,4%,
idx,73,LOG_TIME,2023-05-18T15:19:49,2023-05-18T10:19:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,842Mi,10%,
kind-worker,242m,3%,333Mi,4%,
kind-worker2,231m,2%,342Mi,4%,
kind-worker3,240m,3%,330Mi,4%,
idx,74,LOG_TIME,2023-05-18T15:19:50,2023-05-18T10:19:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,842Mi,10%,
kind-worker,242m,3%,333Mi,4%,
kind-worker2,231m,2%,342Mi,4%,
kind-worker3,240m,3%,330Mi,4%,
idx,75,LOG_TIME,2023-05-18T15:19:51,2023-05-18T10:19:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,842Mi,10%,
kind-worker,242m,3%,333Mi,4%,
kind-worker2,231m,2%,342Mi,4%,
kind-worker3,240m,3%,330Mi,4%,
idx,76,LOG_TIME,2023-05-18T15:19:52,2023-05-18T10:19:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,842Mi,10%,
kind-worker,242m,3%,333Mi,4%,
kind-worker2,231m,2%,342Mi,4%,
kind-worker3,240m,3%,330Mi,4%,
idx,77,LOG_TIME,2023-05-18T15:19:53,2023-05-18T10:19:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,842Mi,10%,
kind-worker,242m,3%,333Mi,4%,
kind-worker2,231m,2%,342Mi,4%,
kind-worker3,240m,3%,330Mi,4%,
idx,78,LOG_TIME,2023-05-18T15:19:54,2023-05-18T10:19:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,842Mi,10%,
kind-worker,242m,3%,333Mi,4%,
kind-worker2,231m,2%,342Mi,4%,
kind-worker3,240m,3%,330Mi,4%,
idx,79,LOG_TIME,2023-05-18T15:19:55,2023-05-18T10:19:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1018m,12%,848Mi,10%,
kind-worker,241m,3%,334Mi,4%,
kind-worker2,257m,3%,355Mi,4%,
kind-worker3,238m,2%,331Mi,4%,
idx,80,LOG_TIME,2023-05-18T15:19:56,2023-05-18T10:19:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1018m,12%,848Mi,10%,
kind-worker,241m,3%,334Mi,4%,
kind-worker2,257m,3%,355Mi,4%,
kind-worker3,238m,2%,331Mi,4%,
idx,81,LOG_TIME,2023-05-18T15:19:57,2023-05-18T10:19:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
